TRACTCE,date_Opened,docket_number,problem code,Process Type,Type of Eviction,Result,Is Section 8 Client?,Other subsidized housing?,Originally a no-cause case?,language,gender,race,marital,veteran_household,disabled,disabled person in household,female-headed household?,seniors in household?,occupation,poverty,income,income1,adults,children,number of persons in household,client_age,ageRange,main benefit,city,zip,special problem code 2,special problem code 3,
608002,7/29/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,M,Black/African American & White,M,No,No,Unknown,Unknown,Unknown,Could Not Determine,0.00,0,Other/Unknown,3,0,3,31,Adult,601 Educated clients on rights,Foster City,94404,,,
608501,6/28/2013,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,M,White,S,No,Yes,Yes,Unknown,Yes,Not Employed,130.31,14556,Social Security Benefits (All Types),1,0,1,61,Senior (60+),601 Educated clients on rights,San Mateo,94403,,,
610202,2/22/2013,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,F,Black/African American,DP,No,Yes,Yes,Unknown,Unknown,Not Employed,21.97,3324,General Assistance,2,Unknown,2,54,Adult,601 Educated clients on rights,Redwood City,94063,,,
610202,10/7/2013,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,Pay and stay,Yes,No,,English,M,White,S,No,Yes,Yes,Unknown,Unknown,Not Employed,98.30,10980,SSI,1,0,1,53,Adult,604 Prevented illegal eviction (non-UD),Redwood City,94063,,,
610304,1/10/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,Pay and stay,Yes,No,,Spanish,F,Hispanic & Other,D,No,No,Unknown,Yes,Unknown,Not Employed,85.97,13008,Welfare (CAL Works),1,1,2,52,Adult,612 UD-settlement probationary tenancy,Redwood City,94065,,,
610400,11/17/2014,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,Unknown,F,Other,W,No,No,Unknown,Yes,Unknown,Could Not Determine,0.00,0,Other/Unknown,1,0,1,51,Adult,608 UD-unfavorable judgment on motion,Redwood City,94063,,,
610400,5/29/2015,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,M,Black/African American,S,No,Yes,Yes,Unknown,Unknown,Could Not Determine,95.51,10668,Social Security Benefits (All Types),1,0,1,53,Adult,,Redwood City,94063,,,
610900,1/28/2013,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,Spanish,F,Other,Unknown,No,Yes,Yes,Yes,Yes,Retired,0.00,0,Social Security Benefits (All Types),1,0,1,70,Senior (60+),,Redwood City,94061,,,
612000,6/29/2015,,6102 Sec. 8 Eviction notice Breach,Notice,Cause - Breach,,Yes,No,,English,M,White,S,No,No,Unknown,Unknown,Unknown,Could Not Determine,128.92,14400,Employment or Self-Employment,1,0,1,53,Adult,601 Educated clients on rights,Menlo Park,94025,,,
600500,4/22/2013,CLJ207782,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Pay and stay,Yes ,No,,Spanish,F,Hispanic & Other,S,No,No,Unknown,Yes,Unknown,Not Employed,66.17,15252,Welfare (CAL Works),1,3,4,39,Adult,609 UD-obtained dismissal,Daly City,94014,,,
600600,2/5/2013,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,M,Other,Unknown,No,Yes,Yes,Unknown,Unknown,Retired,85.94,9600,SSI,1,0,1,60,Senior (60+),610 UD-settlement move out,Daly City,94014,,,
601502,7/9/2013,CLJ208150,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,,Yes ,No,,English,F,Other,S,No,Yes,Yes,Unknown,Unknown,Not Employed,70.27,10632,Social Security Benefits (All Types),2,0,2,50,Adult,603 Prevented/ended illegal conduct by landlord,Daly City,94015,,,
601800,9/9/2013,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,,Yes ,No,,English,F,Hispanic & Other,S,No,Yes,Yes,Unknown,Unknown,Not Employed,70.33,18996,State Disability Insurance (SDI),3,2,5,41,Adult,601 Educated clients on rights,South San Francisco,94080,,,
602400,3/3/2014,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Pay and stay,Yes ,No,,English,F,Hispanic & Other,P,No,No,Unknown,Yes,Unknown,Employed,177.01,40800,Employment or Self-Employment,1,3,4,35,Adult,609 UD-obtained dismissal,South San Francisco,94080,,,
602600,11/18/2014,CLJ210285,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,,Yes ,No,,English,F,Black/African American & White,P,No,No,Unknown,Unknown,Unknown,Employed,126.90,19200,Employment or Self-Employment,2,0,2,44,Adult,,South San Francisco,94080,,,
604102,2/26/2013,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,,Yes ,No,,English,F,Native Hawaiian/Pacific Islander: Other Pacific Islander,D,No,No,Unknown,Unknown,Unknown,Not Employed,126.90,19200,Welfare (CAL Works),2,0,2,54,Adult,606 UD-lost at trial,San Bruno,94066,,,
604102,8/6/2013,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Pay and stay,Yes ,No,,English,F,Hispanic & American Indian/Alaska Native & White,S,No,Yes,Yes,Yes,Yes,Could Not Determine,0.00,0,Other/Unknown,1,0,1,65,Senior (60+),609 UD-obtained dismissal,San Bruno,94066,,,
605000,4/7/2015,CLJ210956,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,,Yes ,No,,English,F,Hispanic & Other,P,No,No,Unknown,Yes,Unknown,Could Not Determine,34.57,6600,Welfare (CAL Works),1,2,3,31,Adult,603 Prevented/ended illegal conduct by landlord,Millbrae,94030,,,
605000,9/17/2013,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,F,Hispanic & Other,S,No,No,Unknown,Yes,Unknown,Employed,181.67,34680,Employment or Self-Employment,1,2,3,25,Adult,610 UD-settlement move out,Burlingame,94010,,,
608002,12/20/2013,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,F,Black/African American,D,No,No,Unknown,Unknown,Unknown,Not Employed,60.03,11460,Welfare (CAL Works),2,1,3,48,Adult,602 Extended time in home before eviction,Foster City,94404,,,
608400,5/10/2013,CLJ207784,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,F,Hispanic & Other,S,No,No,Unknown,Yes,Unknown,Employed,71.38,10800,Employment or Self-Employment,1,1,2,43,Adult,602 Extended time in home before eviction,San Mateo,94403,,,
608400,9/23/2013,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,F,Black/African American,Unknown,No,No,Unknown,Yes,Unknown,Employed,104.12,24000,Employment or Self-Employment,1,3,4,49,Adult,610 UD-settlement move out,San Mateo,94403,,,
608400,1/23/2015,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,,Yes ,No,,English,F,Black/African American & White,S,No,No,Unknown,Yes,Unknown,Not Employed,64.46,7200,Unemployment Insurance (UIB),1,0,1,45,Adult,,San Mateo,94403,6610 Discrim Disability failure to accommodate,,
608900,2/14/2014,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,F,Hispanic & Other,D,No,No,Unknown,Unknown,Unknown,Employed,150.86,28800,Employment or Self-Employment,2,1,3,39,Adult,602 Extended time in home before eviction,Belmont,94002,,,
610201,8/23/2013,CLJ208382,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,F,Black/African American,M,No,Yes,Yes,Unknown,Unknown,Employed,38.09,7272,General Assistance,2,1,3,52,Adult,602 Extended time in home before eviction,East Palo Alto,94063,,,
610201,6/25/2013,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Pay and stay,Yes ,No,,English,M,White,M,Yes,Yes,Yes,Unknown,Yes,Retired,153.52,17148,Social Security Benefits (All Types),1,0,1,65,Senior (60+),612 UD-settlement probationary tenancy,Redwood City,94063,,,
610203,3/8/2013,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,M,White,Unknown,No,Yes,Yes,Unknown,Unknown,Not Employed,93.89,10488,Social Security Benefits (All Types),1,0,1,41,Adult,610 UD-settlement move out,Redwood City,94063,,,
610400,12/5/2014,CLJ210391,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,F,White,S,No,No,Unknown,Yes,Unknown,Employed,42.97,4800,Employment or Self-Employment,1,0,1,52,Adult,610 UD-settlement move out,Redwood City,94063,,,
610700,2/27/2015,CLJ210805,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,,Yes ,No,,English,F,Black/African American & White,S,No,Yes,Yes,Yes,Unknown,Not Employed,93.59,14160,Welfare (CAL Works),1,1,2,55,Adult,601 Educated clients on rights,Redwood City,94061,,,
610700,9/20/2013,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,F,Black/African American,S,No,Yes,Yes,Yes,Unknown,Not Employed,121.50,13572,State Disability Insurance (SDI),1,0,1,51,Adult,610 UD-settlement move out,Redwood City,94061,,,
610800,6/28/2013,CLJ208085,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Pay and stay,Yes ,No,,English,M,Black/African American,W,Yes,Yes,Yes,Unknown,Yes,Retired,82.33,12456,Veteran's Benefits,2,0,2,61,Senior (60+),609 UD-obtained dismissal,Redwood City,94061,,,
610800,1/17/2014,,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Pay and stay,Yes ,No,,English,M,Black/African American,W,No,Yes,Yes,Unknown,Yes,Retired,6.97,1054,Veteran's Benefits,2,Unknown,2,62,Senior (60+),611 UD-settlement pay&stay,Redwood City,94061,6910 Rent Control/Eviction Control [EPA],,
611900,11/26/2014,CLJ210353,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,F,Black/African American & White,P,No,No,Unknown,Yes,Unknown,Employed,77.49,24000,Employment or Self-Employment,1,5,6,39,Adult,610 UD-settlement move out,East Palo Alto,94303,,,
612000,7/15/2014,CLJ209805,6103 Sec. 8 UD N/P Rent,UD,Cause - N/P,Move,Yes ,No,,English,F,Black/African American,D,No,Yes,Yes,Yes,Unknown,Not Employed,93.89,10488,SSI,1,0,1,55,Adult,610 UD-settlement move out,East Palo Alto,94303,,,
600300,3/27/2015,CLJ210947,6104 Sec. 8 UD Breach,UD,Cause - Breach,Move,Yes,No,,English,F,Black/African American,D,No,No,Unknown,Unknown,Unknown,Employed,79.97,21600,Employment or Self-Employment,3,2,5,42,Adult,602 Extended time in home before eviction,Daly City,94014,,,
600300,12/31/2012,,6104 Sec. 8 UD Breach,UD,Cause - Breach,,Yes,No,,English,F,Black/African American,W,No,No,Unknown,Unknown,Unknown,Employed,118.97,18000,Employment or Self-Employment,2,0,2,46,Adult,,Daly City,94014,,,
600500,10/27/2014,CLJ210246,6104 Sec. 8 UD Breach,UD,Cause - Breach,,Yes,No,,English,M,Black/African American & White,S,No,No,Unknown,Unknown,Unknown,Could Not Determine,9.84,2268,Welfare (CAL Works),3,1,4,30,Adult,,Daly City,94014,,,
600700,2/10/2015,,6104 Sec. 8 UD Breach,UD,Cause - Breach,,Yes,No,,English,F,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Employed,65.37,12480,Other/Unknown,2,1,3,40,Adult,601 Educated clients on rights,Daly City,94014,,,
601502,2/2/2015,CLJ210675,6104 Sec. 8 UD Breach,UD,Cause - Breach,Move,Yes,No,,English,F,White,M,No,Yes,Yes,Unknown,Yes,Could Not Determine,125.03,23868,Social Security Benefits (All Types),3,0,3,70,Senior (60+),602 Extended time in home before eviction,Daly City,94015,,,
601605,5/5/2015,,6104 Sec. 8 UD Breach,UD,Cause - Breach,,Yes,No,,English,F,Asian: Filipino,D,No,No,Unknown,Yes,Unknown,Employed,35.54,9600,Employment or Self-Employment,1,4,5,35,Adult,601 Educated clients on rights,Daly City,94015,,,
602400,12/13/2013,,6104 Sec. 8 UD Breach,UD,Cause - Breach,Pay and stay,Yes,No,,English,M,White,S,No,No,Unknown,Unknown,Yes,Retired,82.51,9216,Social Security Benefits (All Types),1,0,1,68,Senior (60+),609 UD-obtained dismissal,South San Francisco,94080,,,
602400,4/8/2013,,6104 Sec. 8 UD Breach,UD,Cause - Breach,Move,Yes,No,,English,F,Asian: Unspecified,M,No,Yes,Yes,Yes,Yes,Retired,41.65,9600,Social Security Benefits (All Types),1,3,4,77,Senior (60+),610 UD-settlement move out,South San Francisco,94080,,,
603300,7/15/2014,CLJ209808,6104 Sec. 8 UD Breach,UD,Cause - Breach,Pay and stay,Yes,No,,English,F,White,W,No,Yes,Yes,Yes,Unknown,Not Employed,96.41,10768.8,SSI,1,0,1,60,Senior (60+),612 UD-settlement probationary tenancy,Pacifica,94044,,,
605500,9/23/2013,,6104 Sec. 8 UD Breach,UD,Cause - Breach,,Yes,No,,English,F,Asian: Unspecified,M,No,No,Unknown,Unknown,Unknown,Employed,99.70,30876,Employment or Self-Employment,2,4,6,35,Adult,601 Educated clients on rights,Burlingame,94010,,,
606900,8/30/2013,,6104 Sec. 8 UD Breach,UD,Cause - Breach,Move,Yes,No,,English,F,White,S,No,Yes,Yes,Yes,Unknown,Not Employed,93.03,10392,SSI,1,0,1,59,Adult,610 UD-settlement move out,San Mateo,94402,6105 Sec. 8 UD Business decision,,
608400,10/17/2014,CLJ211619,6104 Sec. 8 UD Breach,UD,Cause - Breach,Pay and stay,Yes,No,,English,F,Black/African American,S,No,Yes,Yes,Yes,Unknown,Employed,53.75,10260,Employment or Self-Employment,1,2,3,29,Adult,604 Prevented illegal eviction (non-UD),San Mateo,94403,,,
608700,5/29/2015,CLJ211121,6104 Sec. 8 UD Breach,UD,Cause - Breach,Pay and stay,Yes,No,,English,M,Black/African American,S,No,Yes,Yes,Unknown,Unknown,Could Not Determine,0.00,0,Other/Unknown,1,0,1,46,Adult,609 UD-obtained dismissal,Belmont,94002,,,
610201,7/1/2013,CLJ208114,6104 Sec. 8 UD Breach,UD,Cause - Breach,,Yes,No,,English,M,Black/African American,S,Yes,Yes,Yes,Unknown,Unknown,Retired,104.64,11688,Social Security Benefits (All Types),1,0,1,58,Adult,603 Prevented/ended illegal conduct by landlord,Redwood City,94063,,,
610202,1/28/2013,,6104 Sec. 8 UD Breach,UD,Cause - Breach,Move,Yes,No,,English,M,White,S,No,Yes,Yes,Unknown,Yes,Not Employed,7.94,886.4,Social Security Benefits (All Types),Unknown,1,1,75,Senior (60+),610 UD-settlement move out,Redwood City,94062,,,
610700,11/1/2013,,6104 Sec. 8 UD Breach,UD,Cause - Breach,Pay and stay,Yes,No,,English,M,White,S,No,Yes,Yes,Unknown,Unknown,Not Employed,101.14,11296.8,SSI,1,0,1,53,Adult,611 UD-settlement pay&stay,Redwood City,94061,,,
610800,2/7/2014,,6104 Sec. 8 UD Breach,UD,Cause - Breach,Pay and stay,Yes,No,,English,F,Hispanic & Other,S,No,No,Unknown,Yes,Unknown,Not Employed,111.04,16800,Employment or Self-Employment,1,1,2,28,Adult,609 UD-obtained dismissal,Redwood City,94061,,,
611700,9/6/2013,,6104 Sec. 8 UD Breach,UD,Cause - Breach,,Yes,No,,Spanish,F,Hispanic & Other,P,No,No,Unknown,Yes,Unknown,Not Employed,90.39,17256,Welfare (CAL Works),1,2,3,52,Adult,601 Educated clients on rights,Menlo Park,94025,,,
600100,7/11/2014,CLJ209757,6105 Sec. 8 UD Business decision,UD,Cause - Business Decision,Pay and stay,Yes,No,,English,F,Other,Unknown,No,No,Unknown,Unknown,Unknown,Employed,151.49,22920,Employment or Self-Employment,2,Unknown,2,41,Adult,609 UD-obtained dismissal,Brisbane,94005,,,
600300,6/2/2015,,6105 Sec. 8 UD Business decision,UD,Cause - Business Decision,,Yes,No,,English,F,Black/African American,P,No,No,Unknown,Unknown,Unknown,Employed,119.17,27468,Employment or Self-Employment,2,2,4,42,Adult,601 Educated clients on rights,Daly City,94014,,,
600700,1/28/2013,,6105 Sec. 8 UD Business decision,UD,Cause - Business Decision,,Yes,No,,English,F,Black/African American,S,No,No,Unknown,Yes,Unknown,Not Employed,16.50,3804,Welfare (CAL Works),1,3,4,33,Adult,,Daly City,94014,,,
601300,9/17/2013,,6105 Sec. 8 UD Business decision,UD,Cause - Business Decision,,Yes,No,,English,F,Black/African American,S,No,No,Unknown,Yes,Unknown,Could Not Determine,0.00,0,Other/Unknown,1,0,1,Unknown,Unknown,601 Educated clients on rights,Daly City,94014,,,
601502,10/8/2013,,6105 Sec. 8 UD Business decision,UD,Cause - Business Decision,,Yes,No,,English,M,Asian: Unspecified,D,No,Yes,Yes,Unknown,Yes,Retired,119.46,13344,Social Security Benefits (All Types),1,0,1,73,Senior (60+),601 Educated clients on rights,Daly City,94015,,,
601603,9/6/2013,,6105 Sec. 8 UD Business decision,UD,Cause - Business Decision,,Yes,No,,English,F,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Not Employed,0.00,0,Other/Unknown,3,1,4,55,Adult,601 Educated clients on rights,Daly City,94015,6109 Sec. 8 Other,,
601605,1/29/2013,,6105 Sec. 8 UD Business decision,UD,Cause - Business Decision,,Yes,No,,English,F,Hispanic & Black/African American,S,No,Yes,Yes,Yes,Unknown,Employed,29.89,10440,Welfare (CAL Works),1,6,7,38,Adult,601 Educated clients on rights,Daly City,94015,,,
602300,5/17/2013,CLJ207856,6105 Sec. 8 UD Business decision,UD,Cause - Business Decision,Pay and stay,Yes,No,,English,F,Black/African American,Unknown,No,No,Unknown,Unknown,Unknown,Could Not Determine,0.00,0,Other/Unknown,2,3,5,37,Adult,609 UD-obtained dismissal,South San Francisco,94080,,,
